Classifier,Training Data,Test Data,False Positive Rate,False Negative Rate,True Negative Rate,Negative Predictive Value,False Discovery Rate,True Positive Rate,Precision,Accuracy,F1 Score,F2 Score
Logistic Regression,Durum,Durum,0.1111111111111111,0.1,0.8888888888888888,0.8888888888888888,0.1,0.9,0.9,0.8947368421052632,0.9,0.8999999999999999
Logistic Regression,Durum,Bread,0.2,0.16666666666666666,0.8,0.8,0.16666666666666666,0.8333333333333334,0.8333333333333334,0.8181818181818182,0.8333333333333334,0.8333333333333334
Logistic Regression,Durum,Complete,0.14285714285714285,0.0625,0.8571428571428571,0.9230769230769231,0.11764705882352941,0.9375,0.8823529411764706,0.9,0.9090909090909091,0.925925925925926
Logistic Regression,Durum,Test,0.07547169811320754,0.031746031746031744,0.9245283018867925,0.9607843137254902,0.06153846153846154,0.9682539682539683,0.9384615384615385,0.9482758620689655,0.953125,0.9621451104100945
Logistic Regression,Bread,Durum,0.1111111111111111,0.1,0.8888888888888888,0.8888888888888888,0.1,0.9,0.9,0.8947368421052632,0.9,0.8999999999999999
Logistic Regression,Bread,Bread,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
Logistic Regression,Bread,Complete,0.07142857142857142,0.0,0.9285714285714286,1.0,0.058823529411764705,1.0,0.9411764705882353,0.9666666666666667,0.9696969696969697,0.9876543209876544
Logistic Regression,Bread,Test,0.09433962264150944,0.15873015873015872,0.9056603773584906,0.8275862068965517,0.08620689655172414,0.8412698412698413,0.9137931034482759,0.8706896551724138,0.8760330578512397,0.8548387096774195
Logistic Regression,Complete,Durum,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
Logistic Regression,Complete,Bread,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
Logistic Regression,Complete,Complete,0.14285714285714285,0.0,0.8571428571428571,1.0,0.1111111111111111,1.0,0.8888888888888888,0.9333333333333333,0.9411764705882353,0.9756097560975611
Logistic Regression,Complete,Test,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
Support Vector Machine,Durum,Durum,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
Support Vector Machine,Durum,Bread,0.2,0.0,0.8,1.0,0.14285714285714285,1.0,0.8571428571428571,0.9090909090909091,0.923076923076923,0.9677419354838709
Support Vector Machine,Durum,Complete,0.14285714285714285,0.0,0.8571428571428571,1.0,0.1111111111111111,1.0,0.8888888888888888,0.9333333333333333,0.9411764705882353,0.9756097560975611
Support Vector Machine,Durum,Test,0.05660377358490566,0.015873015873015872,0.9433962264150944,0.9803921568627451,0.046153846153846156,0.9841269841269841,0.9538461538461539,0.9655172413793104,0.96875,0.9779179810725551
Support Vector Machine,Bread,Durum,0.4444444444444444,0.1,0.5555555555555556,0.8333333333333334,0.3076923076923077,0.9,0.6923076923076923,0.7368421052631579,0.7826086956521738,0.8490566037735849
Support Vector Machine,Bread,Bread,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
Support Vector Machine,Bread,Complete,0.21428571428571427,0.0,0.7857142857142857,1.0,0.15789473684210525,1.0,0.8421052631578947,0.9,0.9142857142857143,0.963855421686747
Support Vector Machine,Bread,Test,0.3018867924528302,0.06349206349206349,0.6981132075471698,0.9024390243902439,0.21333333333333335,0.9365079365079365,0.7866666666666666,0.8275862068965517,0.8550724637681159,0.9021406727828746
Support Vector Machine,Complete,Durum,0.1111111111111111,0.0,0.8888888888888888,1.0,0.09090909090909091,1.0,0.9090909090909091,0.9473684210526315,0.9523809523809523,0.980392156862745
Support Vector Machine,Complete,Bread,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
Support Vector Machine,Complete,Complete,0.14285714285714285,0.0,0.8571428571428571,1.0,0.1111111111111111,1.0,0.8888888888888888,0.9333333333333333,0.9411764705882353,0.9756097560975611
Support Vector Machine,Complete,Test,0.09433962264150944,0.031746031746031744,0.9056603773584906,0.96,0.07575757575757576,0.9682539682539683,0.9242424242424242,0.9396551724137931,0.9457364341085271,0.959119496855346
K Nearest Neighbors,Durum,Durum,0.2222222222222222,0.0,0.7777777777777778,1.0,0.16666666666666666,1.0,0.8333333333333334,0.8947368421052632,0.9090909090909091,0.9615384615384615
K Nearest Neighbors,Durum,Bread,0.4,0.16666666666666666,0.6,0.75,0.2857142857142857,0.8333333333333334,0.7142857142857143,0.7272727272727273,0.7692307692307692,0.8064516129032258
K Nearest Neighbors,Durum,Complete,0.35714285714285715,0.1875,0.6428571428571429,0.75,0.2777777777777778,0.8125,0.7222222222222222,0.7333333333333333,0.7647058823529411,0.7926829268292683
K Nearest Neighbors,Durum,Test,0.16981132075471697,0.14285714285714285,0.8301886792452831,0.8301886792452831,0.14285714285714285,0.8571428571428571,0.8571428571428571,0.8448275862068966,0.8571428571428571,0.8571428571428571
K Nearest Neighbors,Bread,Durum,0.0,0.4,1.0,0.6923076923076923,0.0,0.6,1.0,0.7894736842105263,0.7499999999999999,0.6521739130434783
K Nearest Neighbors,Bread,Bread,0.0,0.16666666666666666,1.0,0.8333333333333334,0.0,0.8333333333333334,1.0,0.9090909090909091,0.9090909090909091,0.8620689655172415
K Nearest Neighbors,Bread,Complete,0.07142857142857142,0.125,0.9285714285714286,0.8666666666666667,0.06666666666666667,0.875,0.9333333333333333,0.9,0.9032258064516129,0.8860759493670888
K Nearest Neighbors,Bread,Test,0.09433962264150944,0.36507936507936506,0.9056603773584906,0.676056338028169,0.1111111111111111,0.6349206349206349,0.8888888888888888,0.7586206896551724,0.7407407407407407,0.6734006734006734
K Nearest Neighbors,Complete,Durum,0.1111111111111111,0.0,0.8888888888888888,1.0,0.09090909090909091,1.0,0.9090909090909091,0.9473684210526315,0.9523809523809523,0.980392156862745
K Nearest Neighbors,Complete,Bread,0.2,0.0,0.8,1.0,0.14285714285714285,1.0,0.8571428571428571,0.9090909090909091,0.923076923076923,0.9677419354838709
K Nearest Neighbors,Complete,Complete,0.21428571428571427,0.0625,0.7857142857142857,0.9166666666666666,0.16666666666666666,0.9375,0.8333333333333334,0.8666666666666667,0.8823529411764706,0.9146341463414633
K Nearest Neighbors,Complete,Test,0.11320754716981132,0.09523809523809523,0.8867924528301887,0.8867924528301887,0.09523809523809523,0.9047619047619048,0.9047619047619048,0.896551724137931,0.9047619047619048,0.9047619047619048
Random Forest,Durum,Durum,0.1111111111111111,0.0,0.8888888888888888,1.0,0.09090909090909091,1.0,0.9090909090909091,0.9473684210526315,0.9523809523809523,0.980392156862745
Random Forest,Durum,Bread,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
Random Forest,Durum,Complete,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
Random Forest,Durum,Test,0.03773584905660377,0.031746031746031744,0.9622641509433962,0.9622641509433962,0.031746031746031744,0.9682539682539683,0.9682539682539683,0.9655172413793104,0.9682539682539683,0.9682539682539684
Random Forest,Bread,Durum,0.1111111111111111,0.2,0.8888888888888888,0.8,0.1111111111111111,0.8,0.8888888888888888,0.8421052631578947,0.8421052631578948,0.816326530612245
Random Forest,Bread,Bread,0.0,0.16666666666666666,1.0,0.8333333333333334,0.0,0.8333333333333334,1.0,0.9090909090909091,0.9090909090909091,0.8620689655172415
Random Forest,Bread,Complete,0.07142857142857142,0.25,0.9285714285714286,0.7647058823529411,0.07692307692307693,0.75,0.9230769230769231,0.8333333333333334,0.8275862068965517,0.7792207792207793
Random Forest,Bread,Test,0.018867924528301886,0.30158730158730157,0.9811320754716981,0.7323943661971831,0.022222222222222223,0.6984126984126984,0.9777777777777777,0.8275862068965517,0.8148148148148148,0.7407407407407407
Random Forest,Complete,Durum,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
Random Forest,Complete,Bread,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
Random Forest,Complete,Complete,0.07142857142857142,0.0,0.9285714285714286,1.0,0.058823529411764705,1.0,0.9411764705882353,0.9666666666666667,0.9696969696969697,0.9876543209876544
Random Forest,Complete,Test,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
